video,labelName,label,sampleIndex,earMean,earMin,earStd,marMean,marMax,marStd,perclos,eyesClosedRatio,yawnCount
video-1-alert.mkv,alert,0,47,0.2771,0.1,0.041,0.0023,0.0039,0.0008,0.0667,0.0,0
video-1-alert.mkv,alert,0,48,0.2691,0.099,0.0503,0.0023,0.0039,0.0008,0.1,0.0,0
video-1-alert.mkv,alert,0,49,0.2656,0.099,0.0501,0.0037,0.0406,0.0069,0.1,0.0,0
video-1-alert.mkv,alert,0,50,0.2565,0.081,0.0588,0.0037,0.0406,0.0069,0.1333,0.0,0
video-1-alert.mkv,alert,0,51,0.258,0.081,0.0655,0.0037,0.0406,0.0069,0.1333,0.0,0
video-1-alert.mkv,alert,0,52,0.2686,0.081,0.061,0.0037,0.0406,0.0069,0.1,0.0,0
video-1-alert.mkv,alert,0,53,0.2669,0.081,0.0652,0.0037,0.0406,0.0069,0.1333,0.0,0
video-1-alert.mkv,alert,0,54,0.2696,0.081,0.0576,0.0039,0.0406,0.0069,0.1,0.0,0
video-1-alert.mkv,alert,0,55,0.2674,0.0674,0.069,0.0026,0.0047,0.0008,0.1333,0.0,0
video-1-alert.mkv,alert,0,56,0.2748,0.0674,0.0597,0.0027,0.0047,0.0007,0.1,0.0,0
video-1-alert.mkv,alert,0,57,0.2798,0.0674,0.0502,0.0027,0.0047,0.0007,0.0667,0.0,0
video-1-alert.mkv,alert,0,58,0.2779,0.0674,0.0489,0.0027,0.0047,0.0007,0.0667,0.0,0
video-1-alert.mkv,alert,0,59,0.2765,0.0674,0.0425,0.0027,0.0047,0.0009,0.0333,0.0,0
video-1-alert.mkv,alert,0,60,0.2766,0.0674,0.0419,0.0026,0.0036,0.0008,0.0333,0.0,0
video-1-alert.mkv,alert,0,61,0.2856,0.2494,0.0181,0.0026,0.0041,0.0009,0.0,0.0,0
video-1-alert.mkv,alert,0,62,0.2917,0.2494,0.0219,0.0023,0.0041,0.001,0.0,0.0,0
video-1-alert.mkv,alert,0,63,0.2959,0.2494,0.0232,0.0022,0.0041,0.001,0.0,0.0,0
video-1-alert.mkv,alert,0,64,0.2994,0.2494,0.0245,0.0021,0.0041,0.001,0.0,0.0,0
